"Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"12:53 AM","62ʡF","53ʡF","72ʡ%","SSE","7ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"1:53 AM","62ʡF","53ʡF","72ʡ%","ESE","6ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Cloudy"
"2:53 AM","61ʡF","52ʡF","72ʡ%","SSE","9ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Cloudy"
"3:53 AM","61ʡF","52ʡF","72ʡ%","SSE","5ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Mostly Cloudy"
"4:53 AM","60ʡF","52ʡF","75ʡ%","SSE","5ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Mostly Cloudy"
"5:53 AM","61ʡF","53ʡF","75ʡ%","S","6ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Mostly Cloudy"
"6:53 AM","61ʡF","53ʡF","75ʡ%","VAR","7ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Cloudy"
"7:53 AM","61ʡF","52ʡF","72ʡ%","SSW","3ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Cloudy"
"8:53 AM","63ʡF","52ʡF","67ʡ%","SSW","5ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Mostly Cloudy"
"9:53 AM","63ʡF","53ʡF","70ʡ%","WSW","7ʡmph","0ʡmph","29.86ʡin","0.0ʡin","Mostly Cloudy"
"10:53 AM","64ʡF","53ʡF","67ʡ%","WSW","9ʡmph","0ʡmph","29.87ʡin","0.0ʡin","Mostly Cloudy"
"11:53 AM","67ʡF","54ʡF","63ʡ%","SW","9ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Mostly Cloudy"
"12:11 PM","68ʡF","54ʡF","61ʡ%","SW","10ʡmph","0ʡmph","29.85ʡin","0.0ʡin","Partly Cloudy"
"12:53 PM","67ʡF","53ʡF","61ʡ%","SW","13ʡmph","0ʡmph","29.83ʡin","0.0ʡin","Partly Cloudy"
"1:53 PM","68ʡF","53ʡF","59ʡ%","W","14ʡmph","0ʡmph","29.80ʡin","0.0ʡin","Fair"
"2:53 PM","67ʡF","54ʡF","63ʡ%","W","15ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"3:53 PM","67ʡF","55ʡF","66ʡ%","W","17ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"4:53 PM","65ʡF","54ʡF","68ʡ%","W","17ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"5:53 PM","63ʡF","54ʡF","72ʡ%","W","17ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"6:53 PM","61ʡF","54ʡF","78ʡ%","W","13ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"7:53 PM","60ʡF","53ʡF","78ʡ%","W","10ʡmph","0ʡmph","29.77ʡin","0.0ʡin","Fair"
"8:53 PM","59ʡF","53ʡF","81ʡ%","W","7ʡmph","0ʡmph","29.78ʡin","0.0ʡin","Fair"
"9:53 PM","60ʡF","53ʡF","78ʡ%","S","3ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"10:53 PM","60ʡF","53ʡF","78ʡ%","SSE","3ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
"11:53 PM","59ʡF","53ʡF","81ʡ%","VAR","3ʡmph","0ʡmph","29.79ʡin","0.0ʡin","Fair"
